model,strategy,k,temperature,acceptance_rate,ci_lo,ci_hi,mean_accepted_length,n_trials
qwen3.5-0.8b,linear_only,2,0.0,0.0375,0.0175,0.06,0.075,200
qwen3.5-0.8b,linear_only,2,0.6,0.0725,0.045,0.105,0.145,200
qwen3.5-0.8b,linear_only,4,0.0,0.01875,0.00875,0.03,0.075,200
qwen3.5-0.8b,linear_only,4,0.6,0.04,0.0225,0.06,0.16,200
qwen3.5-0.8b,linear_only,8,0.0,0.009375,0.004375,0.015,0.075,200
qwen3.5-0.8b,linear_only,8,0.6,0.009375,0.003125,0.0175,0.075,200
falcon-h1-0.5b,ssm_only,2,0.0,0.68,0.62,0.7375,1.36,200
falcon-h1-0.5b,ssm_only,2,0.6,0.56,0.505,0.615,1.12,200
falcon-h1-0.5b,ssm_only,4,0.0,0.37,0.335,0.405,1.48,200
falcon-h1-0.5b,ssm_only,4,0.6,0.3875,0.34625,0.43,1.55,200
falcon-h1-0.5b,ssm_only,8,0.0,0.185625,0.168125,0.203125,1.485,200
falcon-h1-0.5b,ssm_only,8,0.6,0.22375,0.19,0.259375,1.79,200
qwen2.5-0.5b,layer_skip,2,0.0,0.52,0.4675,0.5725,1.04,200
qwen2.5-0.5b,layer_skip,2,0.6,0.4275,0.375,0.4825,0.855,200
qwen2.5-0.5b,layer_skip,4,0.0,0.32625,0.285,0.37,1.305,200
qwen2.5-0.5b,layer_skip,4,0.6,0.30625,0.2624687500000003,0.35125,1.225,200
qwen2.5-0.5b,layer_skip,8,0.0,0.17875,0.1525,0.20625,1.43,200
qwen2.5-0.5b,layer_skip,8,0.6,0.190625,0.160625,0.223125,1.525,200
