model,k,temperature,acceptance_rate,flop_ratio,theoretical_speedup
qwen3.5-0.8b,2,0.0,0.0375,0.7734375,0.42208588957055215
qwen3.5-0.8b,2,0.6,0.0725,0.7734375,0.4495705521472393
qwen3.5-0.8b,4,0.0,0.01875,0.7734375,0.26259541984732826
qwen3.5-0.8b,4,0.6,0.04,0.7734375,0.28335877862595416
qwen3.5-0.8b,8,0.0,0.009375,0.7734375,0.14956521739130435
qwen3.5-0.8b,8,0.6,0.009375,0.7734375,0.14956521739130435
falcon-h1-0.5b,2,0.0,0.68,0.7843137254901961,0.9187786259541987
falcon-h1-0.5b,2,0.6,0.56,0.7843137254901961,0.8253435114503818
falcon-h1-0.5b,4,0.0,0.37,0.7843137254901961,0.5994312796208532
falcon-h1-0.5b,4,0.6,0.3875,0.7843137254901961,0.616350710900474
falcon-h1-0.5b,8,0.0,0.185625,0.7843137254901961,0.34160377358490573
falcon-h1-0.5b,8,0.6,0.22375,0.7843137254901961,0.38353099730458223
qwen2.5-0.5b,2,0.0,0.52,0.67,0.8717948717948719
qwen2.5-0.5b,2,0.6,0.4275,0.67,0.7927350427350428
qwen2.5-0.5b,4,0.0,0.32625,0.67,0.6263586956521738
qwen2.5-0.5b,4,0.6,0.30625,0.67,0.6046195652173914
qwen2.5-0.5b,8,0.0,0.17875,0.67,0.3820754716981131
qwen2.5-0.5b,8,0.6,0.190625,0.67,0.39701257861635214
